Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C23, C31, C39, C47, C55, C63, C71, C79, C87, C95",0603,12,0.22 µF,
"C10, C11, C115, C116, C12, C13, C16, C18, C20, C21, C24, C26, C28, C29, C32, C34, C36, C37, C40, C42, C44, C45, C48, C5, C50, C52, C53, C56, C58, C60, C61, C64, C66, C68, C69, C72, C74, C76, C77, C80, C82, C84, C85, C88, C9, C90, C92, C93, C96, C98",0603,50,0.1 µF,
"C100, C101",0402,2,1u,
"C102, C103",0402,2,10n,
"C104, C105, C106, C107, C108, C109, C111, C3",0402,8,100n,
"C110, C112, C113, C114",0402,4,4.7u,
"C14, C17, C19, C22, C25, C27, C30, C33, C35, C38, C41, C43, C46, C49, C51, C54, C57, C59, C6, C62, C65, C67, C7, C70, C73, C75, C78, C8, C81, C83, C86, C89, C91, C94, C97, C99",0603,36,10nF,
"C2, C4",0402,2,15p,
"D1, D2",DIOM5436X244N,2,D_Schottky,
"D3, D4",PESD5V0S1BL315,2,PTVS3V3D1BALYL,
"D5, D7",LEDC2012X70N,2,5988170107F,
D6,LED_KT-0603R,1,KT-0603R,
J1,PHOENIX_1727010,1,1727010,
"J10, J11, J12, J15, J16, J17, J4, J5, J6, J7, J8, J9",HDRV5W62P0X254_1X5_1270X240X1624P,12,77311-462K05LF,
J13,XKB_DC-005-5A-2.0,1,DC-005-5A-2.0,
J14,TE_1981568-1,1,1981568-1,
J2,TE_5-146280-3,1,5-146280-3,
J3,AMPHENOL_20021121-00020C4LF,1,20021121-00020C4LF,
L1,0402,1,3.3u,
L2,0805,1,47uH,
"R10, R100, R102, R103, R104, R105, R106, R108, R11, R110, R111, R112, R113, R114, R115, R13, R14, R16, R18, R19, R20, R21, R22, R24, R26, R27, R28, R29, R30, R32, R34, R35, R36, R37, R38, R40, R42, R43, R44, R45, R46, R48, R50, R51, R52, R53, R54, R56, R58, R59, R6, R60, R61, R62, R64, R66, R71, R72, R78, R81, R84, R86, R87, R88, R89, R90, R92, R94, R95, R96, R97, R98",0805,72,10k,
"R101, R107, R109, R15, R17, R23, R25, R31, R33, R39, R41, R47, R49, R55, R57, R63, R65, R8, R83, R85, R9, R91, R93, R99",0805,24,0.2,
R3,0805,1,0,
"R4, R5, R69",0805,3,1k,
"R67, R68",0402,2,27,
R70,0805,1,33,
"R73, R74, R75",0402,3,10k,
"R76, R77",0805,2,DNF,
R79,0805,1,60,
R80,0402,1,60,
R82,0402,1,100,
S1,SW_100SP1T2B4M7QE,1,100SP1T2B4M7QE,
"SW1, SW2",SPEH110101,2,SW_Push,
SW3,SW_219-3LPSTR,1,219-3LPSTR,
"TP1, TP10, TP11, TP12, TP2, TP3, TP8, TP9",TestPoint_Pad_2.0x2.0mm,8,TestPoint,
U1,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350B-QFN80,
"U10, U11, U12, U13, U14, U15, U4, U5, U6, U7, U8, U9",QFN28G_0.5-5X5MM,12,DRIVER-A4988SETTR-T_QFN28_,A4988SETTR-T
U16,SOIC8-1.27-5X4MM,1,PMIC-AP1509-SG-13_SOIC8_,AP1509-SG-13
U2,ABM8-272-T3,1,ABM8-272-T3,
U3,SOIC127P790X216-8N,1,W25Q128JVSIQ,
